NOME;ID;LATITUDE;LONGITUDE
Porto;1;41.15798;-8.6291053
Castelo de Paiva;4;41.0413951;-8.272689
Penafiel;5;41.2050452;-8.2875175
Amarante;6;41.2696357;-8.0826488
Felgueiras;3;41.3664104;-8.1971968
Guimarães;8;41.4425179;-8.2917589
Braga;18;41.5454486;-8.426507
Barcelos;19;41.5320504;-8.6190525
Póvoa de Varzim;10;41.3803685;-8.7609294
Vila do Conde;9;41.3517302;-8.747861
Matosinhos;2;41.1844362;-8.6962775
Trofa;37;41.339700407744196;-8.556976318359375
Fafe;32;41.44993208042259;-8.172454833984375
Mondim de Bastos;33;41.411835731001226;-7.95135498046875
Vila Real;13;41.3010351;-7.7422354
Mirandela;15;41.4853528;-7.1809111
Serra da Estrela;25;40.3230306;-7.5960533
Fatima;26;39.6172063;-8.6521422
Nazaré;20;39.6012147;-9.0700991
Figueira da Foz;16;40.1521398;-8.857583
Coimbra;17;40.2048286;-8.4403573
Tondela;14;40.5170645;-8.0802569
Ovar;11;40.8596399;-8.6253313
Aveiro;12;40.6413266;-8.6536321
Agueda;28;40.5771128;-8.44627
Cantanhede;29;40.3470015;-8.5933462
Arouca;7;40.9321489;-8.245099
Castro Daire;35;40.90417176411099;-7.936248779296875
Lamego;34;41.0948771219984;-7.815399169921875
Viseu;36;40.65563874006118;-7.91290283203125
Sintra;21;38.8028687;-9.3816589
Oeiras;22;38.6968607;-9.3146014
Santarém;27;39.2848804;-8.704075
Portimão;23;37.1417854;-8.5335055
Sagres;24;37.0168316;-8.9405858
Lousada;30;41.2774793;-8.2837376
